date,region,state,cases,deaths
4/18/2020,Sudeste,Espírito Santo,952,28
4/18/2020,Sudeste,Minas Gerais,1077,39
4/18/2020,Sudeste,Rio de Janeiro,4543,387
4/18/2020,Sudeste,São Paulo,13894,991
4/18/2020,Sul,Paraná,945,46
4/18/2020,Sul,Rio Grande do Sul,831,24
4/18/2020,Sul,Santa Catarina,962,31
4/19/2020,Centro-Oeste,Distrito Federal,827,24
4/19/2020,Centro-Oeste,Goiás,393,18
4/19/2020,Centro-Oeste,Mato Grosso,174,5
4/19/2020,Centro-Oeste,Mato Grosso do Sul,168,5
4/19/2020,Nordeste,Alagoas,159,15
4/19/2020,Nordeste,Bahia,1230,45
4/19/2020,Nordeste,Ceará,3252,186
4/19/2020,Nordeste,Maranhão,1205,48
4/19/2020,Nordeste,Paraíba,236,29
4/19/2020,Nordeste,Pernambuco,2459,216
4/19/2020,Nordeste,Piauí,145,10
4/19/2020,Nordeste,Rio Grande do Norte,531,25
4/19/2020,Nordeste,Sergipe,83,5
4/19/2020,Norte,Acre,163,6
4/19/2020,Norte,Amapá,416,11
4/19/2020,Norte,Amazonas,2044,182
4/19/2020,Norte,Pará,685,34
4/19/2020,Norte,Rondônia,128,4
4/19/2020,Norte,Roraima,222,3
4/19/2020,Norte,Tocantins,33,1
4/19/2020,Sudeste,Espírito Santo,1099,30
4/19/2020,Sudeste,Minas Gerais,1154,39
4/19/2020,Sudeste,Rio de Janeiro,4765,402
4/19/2020,Sudeste,São Paulo,14267,1015
4/19/2020,Sul,Paraná,987,48
4/19/2020,Sul,Rio Grande do Sul,854,24
4/19/2020,Sul,Santa Catarina,975,32
4/20/2020,Centro-Oeste,Distrito Federal,872,24
4/20/2020,Centro-Oeste,Goiás,403,19
4/20/2020,Centro-Oeste,Mato Grosso,181,6
4/20/2020,Centro-Oeste,Mato Grosso do Sul,171,5
4/20/2020,Nordeste,Alagoas,171,18
4/20/2020,Nordeste,Bahia,1341,46
4/20/2020,Nordeste,Ceará,3482,198
4/20/2020,Nordeste,Maranhão,1320,54
4/20/2020,Nordeste,Paraíba,245,32
4/20/2020,Nordeste,Pernambuco,2690,234
4/20/2020,Nordeste,Piauí,158,12
4/20/2020,Nordeste,Rio Grande do Norte,595,27
4/20/2020,Nordeste,Sergipe,86,5
4/20/2020,Norte,Acre,176,8
4/20/2020,Norte,Amapá,433,13
4/20/2020,Norte,Amazonas,2160,185
4/20/2020,Norte,Pará,902,35
4/20/2020,Norte,Rondônia,160,4
4/20/2020,Norte,Roraima,244,3
4/20/2020,Norte,Tocantins,34,1
4/20/2020,Sudeste,Espírito Santo,1168,33
4/20/2020,Sudeste,Minas Gerais,1189,41
4/20/2020,Sudeste,Rio de Janeiro,4899,422
4/20/2020,Sudeste,São Paulo,14580,1037
4/20/2020,Sul,Paraná,1007,51
4/20/2020,Sul,Rio Grande do Sul,889,27
4/20/2020,Sul,Santa Catarina,1025,35
4/21/2020,Centro-Oeste,Distrito Federal,881,24
4/21/2020,Centro-Oeste,Goiás,421,19
4/21/2020,Centro-Oeste,Mato Grosso,181,6
4/21/2020,Centro-Oeste,Mato Grosso do Sul,173,6
4/21/2020,Nordeste,Alagoas,210,19
4/21/2020,Nordeste,Bahia,1489,47
4/21/2020,Nordeste,Ceará,3716,215
4/21/2020,Nordeste,Maranhão,1396,60
4/21/2020,Nordeste,Paraíba,263,33
4/21/2020,Nordeste,Pernambuco,2908,260
